"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Ceremony","CeremonyYear"
"Best Director","Winner","On the Waterfront","Event-20-1954","tt0047296","On the Waterfront","nm0001415","Elia Kazan",NA,NA,"020","1954"
"Best Director",NA,"Rear Window","Event-20-1954","tt0047396","Rear Window","nm0000033","Alfred Hitchcock",NA,NA,"020","1954"
"Best Director",NA,"The Caine Mutiny","Event-20-1954","tt0046816","The Caine Mutiny","nm0229424","Edward Dmytryk",NA,NA,"020","1954"
"Best Director",NA,"The Country Girl","Event-20-1954","tt0046874","The Country Girl","nm0780833","George Seaton",NA,NA,"020","1954"
"Best Director",NA,"Carmen Jones","Event-20-1954","tt0046828","Carmen Jones","nm0695937","Otto Preminger",NA,NA,"020","1954"
"Best Director",NA,"Romeo and Juliet","Event-20-1954","tt0047029","Romeo and Juliet","nm0144677","Renato Castellani",NA,NA,"020","1954"
"Best Film","Winner",NA,"Event-20-1954","tt0047296","On the Waterfront",NA,NA,NA,NA,"020","1954"
"Best Film",NA,NA,"Event-20-1954","tt0046874","The Country Girl",NA,NA,NA,NA,"020","1954"
"Best Film",NA,NA,"Event-20-1954","tt0046828","Carmen Jones",NA,NA,NA,NA,"020","1954"
"Best Film",NA,NA,"Event-20-1954","tt0047029","Romeo and Juliet",NA,NA,NA,NA,"020","1954"
"Best Foreign Language Film","Winner",NA,"Event-20-1954","tt0045935","Gate of Hell",NA,NA,NA,NA,"020","1954"
"Best Foreign Language Film",NA,NA,"Event-20-1954","tt0046487","Monsieur Hulot's Holiday",NA,NA,NA,NA,"020","1954"
"Best Foreign Language Film",NA,NA,"Event-20-1954","tt0046159","Bread, Love and Dreams",NA,NA,NA,NA,"020","1954"
"Best Actor","Winner","Marty","Event-21-1955","tt0048356","Marty","nm0000308","Ernest Borgnine",NA,NA,"021","1955"
"Best Actor",NA,"The Man with the Golden Arm","Event-21-1955","tt0048347","The Man with the Golden Arm","nm0000069","Frank Sinatra",NA,NA,"021","1955"
"Best Actor",NA,"The Prisoner","Event-21-1955","tt0048512","The Prisoner","nm0000027","Alec Guinness",NA,NA,"021","1955"
"Best Actress","Winner","The Rose Tattoo","Event-21-1955","tt0048563","The Rose Tattoo","nm0536167","Anna Magnani",NA,NA,"021","1955"
"Best Actress",NA,"Summertime","Event-21-1955","tt0048673","Summertime","nm0000031","Katharine Hepburn",NA,NA,"021","1955"
"Best Actress",NA,"Love Is a Many-Splendored Thing","Event-21-1955","tt0048316","Love Is a Many-Splendored Thing","nm0428354","Jennifer Jones",NA,NA,"021","1955"
"Best Director","Winner","Summertime","Event-21-1955","tt0048673","Summertime","nm0000180","David Lean",NA,NA,"021","1955"
"Best Director",NA,"The Man with the Golden Arm, The Court-Martial of Billy Mitchell","Event-21-1955","tt0048347","The Man with the Golden Arm","nm0695937","Otto Preminger",NA,NA,"021","1955"
"Best Director",NA,"The Man with the Golden Arm, The Court-Martial of Billy Mitchell","Event-21-1955","tt0047956","The Court-Martial of Billy Mitchell","nm0695937","Otto Preminger",NA,NA,"021","1955"
"Best Director",NA,"The Desperate Hours","Event-21-1955","tt0047985","The Desperate Hours","nm0943758","William Wyler",NA,NA,"021","1955"
"Best Film","Winner",NA,"Event-21-1955","tt0048356","Marty",NA,NA,NA,NA,"021","1955"
"Best Film",NA,NA,"Event-21-1955","tt0048380","Mister Roberts",NA,NA,NA,NA,"021","1955"
"Best Foreign Language Film","Winner",NA,"Event-21-1955","tt0046911","Diabolique",NA,NA,NA,NA,"021","1955"
