"item","imdb","distid","distributor"
"http://www.wikidata.org/entity/Q6965164","tt1020978","http://www.wikidata.org/entity/Q907311","Netflix"
"http://www.wikidata.org/entity/Q77893875","tt9172840","http://www.wikidata.org/entity/Q907311","Netflix"
"http://www.wikidata.org/entity/Q7532401","tt18291408","http://www.wikidata.org/entity/Q3523697","AVM Productions"
"http://www.wikidata.org/entity/Q16248377","tt0476057","http://www.wikidata.org/entity/Q907311","Netflix"
"http://www.wikidata.org/entity/Q64549196","tt8871394","http://www.wikidata.org/entity/Q3363246","Paradis Films"
"http://www.wikidata.org/entity/Q6965164","tt1020978","http://www.wikidata.org/entity/Q5395348","Eros International"
"http://www.wikidata.org/entity/Q19573654","tt7414250","http://www.wikidata.org/entity/Q6379314","Kavithalayaa Productions"
"http://www.wikidata.org/entity/Q101245144","tt12929738","http://www.wikidata.org/entity/Q51328854","ZEE5"
"http://www.wikidata.org/entity/Q73028295","tt11066130","http://www.wikidata.org/entity/Q907311","Netflix"
"http://www.wikidata.org/entity/Q55392299","tt8459304","http://www.wikidata.org/entity/Q3634702","Reliance Entertainment"
"http://www.wikidata.org/entity/Q61955","tt0113311","http://www.wikidata.org/entity/Q5289625","Dolphin Films Pvt. Ltd"
